Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Swedish, Spanish",Series,4.3,Thailand,< 30 minutes,Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",R,7.9,98.0,82.0,74.0,57.0,"$2,122,065",12 Dec 2008,2021-03-04,"Canal+, Sandrew Metronome",https://www.netflix.com/watch/81415947,https://www.imdb.com/title/tt1139797,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",205926.0,https://occ-0-4708-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmgLCxN8dNahdY2kgd1hhcL2a6XrE92x24Bx5h6JFUvH5zMrv6lFWl_aWMt33b6DHvkgsUeDx_8Q1rmopwT3fuF8Rq3S1hrkvFf3uzVv2sb3zrtU-LM1Zy1FfrAKD3nKNyA_RQWrmw.jpg?r=cd0,https://m.media-amazon.com/images/M/MV5BOWM4NTY2NTMtZDZlZS00NTgyLWEzZDMtODE3ZGI1MzI3ZmU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,
HOW TO BUILD A GIRL,Comedy,"Dramas,Comedies,Films Based on Books,British",English,Movie,7.0,Canada,1-2 hour,Coky Giedroyc,Caitlin Moran,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",R,5.8,79.0,69.0,1.0,,"$70,632",08 May 2020,2021-03-04,"Film 4, Monumental Pictures, Lionsgate",https://www.netflix.com/watch/81041267,https://www.imdb.com/title/tt4193072,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.",2838.0,https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe_fxMSBM1E-sSoszr12SmkI-498sqBWrEyhkchdn4UklQVjdoPS_Hj-NhvgbePvwlDSzMTcrIE0kgiy-zTEU_EaGg.jpg?r=35a,https://m.media-amazon.com/images/M/MV5BZGUyN2ZlMjYtZTk2Yy00MWZiLWIyMDktMzFlMmEzOWVlMGNiXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,https://www.youtube.com/watch?v=eIbcxPy4okQ,YouTube
Centigrade,"Drama, Thriller",Thrillers,English,Movie,6.4,Canada,1-2 hour,Brendan Walsh,"Brendan Walsh, Daley Nixon","Genesis Rodriguez, Vincent Piazza",Unrated,4.3,,46.0,,,"$16,263",28 Aug 2020,2021-03-04,,https://www.netflix.com/watch/81305978,https://www.imdb.com/title/tt8945942,"Trapped in a frozen car during a blizzard, a pregnant woman and her husband fight to survive while the temperatures plummet. Inspired by a true story.",1720.0,https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW-fG-2_s3pGsBdbw4nLCWENcRKL2Ngj7Kv5_QQVgZ--GT8eg-BlyJZM9ZaAg5kAYHefo77975PKaTZ3Yza1zLQwgQ.jpg?r=66b,https://m.media-amazon.com/images/M/MV5BODM2MDQ5MjktYTM1ZS00Y2M4LTg0MDAtZjFjZDM1MDQxZGRmXkEyXkFqcGdeQXVyNDA1NDA2NTk@._V1_SX300.jpg,https://www.youtube.com/watch?v=0RvV7TNUlkQ,YouTube
ANNE+,Drama,"TV Dramas,Romantic TV Dramas,Dutch TV Shows",Turkish,Series,7.7,"Belgium,Netherlands",< 30 minutes,,,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",,6.5,,,1.0,,,01 Oct 2016,2021-03-04,,https://www.netflix.com/watch/81336456,https://www.imdb.com/title/tt6132758,"Upon moving into a new place, a 20-something runs into a former flame that triggers memories of past relationships since their split four years ago.",1147.0,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeq3p0f50KPNQTYmozdPUenqXI3bh6Hadry-yMpooR0_Hm2VzUqIzq1V7oihe9ImLxaZC72w9HttdBRoORQT-WVkaA.jpg?r=f82,https://m.media-amazon.com/images/M/MV5BNWRkMzdiYjgtOTA0Yi00NjZiLWFjZjMtYThlMTE5MWEwYWU4XkEyXkFqcGdeQXVyODY1MDkwOQ@@._V1_SX300.jpg,,
Moxie,"Animation, Short, Drama","Social Issue Dramas,Teen Movies,Dramas,Comedies,Movies Based on Books",English,Movie,8.1,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",1-2 hour,Stephen Irwin,,Ragga Gudrun,,6.3,,,,4.0,,22 Sep 2011,2021-03-04,,https://www.netflix.com/watch/81078393,https://www.imdb.com/title/tt2023611,"Inspired by her moms rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",63.0,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb72YCHDSHzrB8i5_iG56UFm-qV2bslRyMHIqZ4tmlIpeVtMsqAyUem6JAxXtV4Ec9jlA4EpTdf5tNX2ivyLUwmPy4d3xowFdJE63MPXbWu8kAnc-j9qhAZrmMI.jpg?r=fad,https://m.media-amazon.com/images/M/MV5BODYyNWFjODYtYTU3NC00ZmM2LTk3YzEtZDQzZjU0YzZhMTkzXkEyXkFqcGdeQXVyMTE2NzYxNDcz._V1_SX300.jpg,,
The Con-Heartist,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films",Thai,Movie,8.6,Thailand,> 2 hrs,Mez Tharatorn,"Pattaranad Bhiboonsawade, Thodsapon Thiptinnakorn, Mez Tharatorn","Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon",,7.4,,,,,,03 Dec 2020,2021-03-03,,https://www.netflix.com/watch/81306155,https://www.imdb.com/title/tt13393728,"After her ex-boyfriend cons her out of a large sum of money, a former bank employee tricks a scam artist into helping her swindle him in retaliation.",131.0,https://occ-0-2188-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSj6td_whxb4en62Ax5EKSKMl2lTzEK5CcBhwBdjRgF6SOJb4RtVoLhPAUWEskuOxPiaafxU1qauZDTJguwNQ9GstA.jpg?r=e76,https://m.media-amazon.com/images/M/MV5BODAzOGZmNjUtMTIyMC00NGU1LTg5MTMtZWY4MDdiZjI0NGEwXkEyXkFqcGdeQXVyNzEyMTA5MTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=md3CmFLGK6Y,YouTube
Gleboka woda,Drama,"TV Dramas,Polish TV Shows,Social Issue TV Dramas",Polish,Series,8.7,Poland,< 30 minutes,,,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",,7.5,,,2.0,4.0,,14 Jun 2011,2021-03-03,,https://www.netflix.com/watch/81307527,https://www.imdb.com/title/tt2300049,A group of social welfare workers led by their new director tries to provide necessary aid to people struggling with various problems.,47.0,https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSxWH_aWvJrqXWANpOp86kFpU3kdpqx9RsdYZZGHfpIalSig2QHKaZXm8vhKWr89-OLh5XqzIHj_5UzwNriADy19NQ.jpg?r=561,https://m.media-amazon.com/images/M/MV5BMTc0NzZiYTYtMTQyNy00Mjg0LTk1NzMtMTljMjI4ZmM4ZjFmXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg,,
Instynkt,Crime,"TV Dramas,Crime TV Dramas,Polish TV Shows",Polish,Series,6.9,Poland,< 30 minutes,,,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",,3.9,,,,,,03 Mar 2011,2021-03-03,,https://www.netflix.com/watch/81307482,https://www.imdb.com/title/tt1973421,"An enigmatic commissioner joins the Warsaw Police, where her unconventional investigation methods unsettle the officers in the homicide department.",107.0,https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUOq8KM0VPlrak8DpkXjMWY28qjpsdG_WT1ee8BDyBmk8X2453s0gQuHGVvV-D0OT-yq6C07b31Z2s-2MesSDaY1CQ.jpg?r=666,https://m.media-amazon.com/images/M/MV5BZWYyYWQxZGUtYTNjMy00OGVhLTk4MTktZDgwOTdiOGZmMDA1L2ltYWdlXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg,,
Only a Mother,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Swedish Movies",Swedish,Movie,8.3,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",1-2 hour,Alf Sjöberg,Ivar Lo-Johansson,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",,6.7,,,2.0,1.0,,31 Oct 1949,2021-03-03,,https://www.netflix.com/watch/81382068,https://www.imdb.com/title/tt0041155,An unhappily married farm worker struggling to care for her children reflects on her lost youth and the scandalous moment that cost her true love.,88.0,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdpOFktQ4Z3klQEU2XQc9NWompf70CHEGLPIeBdCGGLDhvy1Mqly5552DUYR5-5M77STCj8rPvCbXltOcTj53olEzA.jpg?r=c84,https://m.media-amazon.com/images/M/MV5BMjVmMzA5OWYtNTFlMy00ZDBlLTg4NDUtM2NjYjFhMGYwZjBkXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,,
Snowroller,Comedy,"Sports Movies,Sports Comedies,Comedies,Swedish Movies","Swedish, English, German, Norwegian",Movie,5.3,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",,6.6,,,,,,04 Oct 1985,2021-03-03,,https://www.netflix.com/watch/81382187,https://www.imdb.com/title/tt0090115,"Two friends take a ski trip to the Alps, where they enjoy the outdoors and try to charm two women also on vacation.",5926.0,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQoql2u62H3BqwAhwJWTF-F0QIaG7dmZiMx8WDff2YUSCX-Sgo072F5HPosZbBJTcYQBjNACBHurAbB40rPQxWBrzQ.jpg?r=667,https://m.media-amazon.com/images/M/MV5BZDY2NGFkMjUtOGQxOS00M2E0LWE1MmYtNDYzOGNiNWI0NmJkXkEyXkFqcGdeQXVyMTQzMjU1NjE@._V1_SX300.jpg,,
