Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes,gap_between_netflix_release_and_release,Country Count,Language Count,is_hidden_gem,year_added
Lets Fight Ghost,,"Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Swedish, Spanish",Series,4.3,,< 30 minutes,Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",R,7.9,98.0,82.0,74.0,57.0,,2008-12-12,2021-03-04,205926.0,4465.0,1,2,False,2021
HOW TO BUILD A GIRL,,"Dramas,Comedies,Films Based on Books,British",English,Movie,7.0,,1-2 hour,Coky Giedroyc,Caitlin Moran,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",R,5.8,79.0,69.0,1.0,,,2020-05-08,2021-03-04,2838.0,300.0,1,1,False,2021
Centigrade,,Thrillers,English,Movie,6.4,,1-2 hour,Brendan Walsh,"Brendan Walsh, Daley Nixon","Genesis Rodriguez, Vincent Piazza",Unrated,4.3,,46.0,,,,2020-08-28,2021-03-04,1720.0,188.0,1,1,False,2021
ANNE+,,"TV Dramas,Romantic TV Dramas,Dutch TV Shows",Turkish,Series,7.7,,< 30 minutes,,,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",,6.5,,,1.0,,,2016-10-01,2021-03-04,1147.0,1615.0,2,1,False,2021
Moxie,,"Social Issue Dramas,Teen Movies,Dramas,Comedies,Movies Based on Books",English,Movie,8.1,,1-2 hour,Stephen Irwin,,Ragga Gudrun,,6.3,,,,4.0,,2011-09-22,2021-03-04,63.0,3451.0,36,1,False,2021
The Con-Heartist,,"Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films",Thai,Movie,8.6,,> 2 hrs,Mez Tharatorn,"Pattaranad Bhiboonsawade, Thodsapon Thiptinnakorn, Mez Tharatorn","Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon",,7.4,,,,,,2020-12-03,2021-03-03,131.0,90.0,1,1,False,2021
Gleboka woda,,"TV Dramas,Polish TV Shows,Social Issue TV Dramas",Polish,Series,8.7,,< 30 minutes,,,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",,7.5,,,2.0,4.0,,2011-06-14,2021-03-03,47.0,3550.0,1,1,True,2021
Instynkt,,"TV Dramas,Crime TV Dramas,Polish TV Shows",Polish,Series,6.9,,< 30 minutes,,,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",,3.9,,,,,,2011-03-03,2021-03-03,107.0,3653.0,1,1,False,2021
Only a Mother,,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Swedish Movies",Swedish,Movie,8.3,,1-2 hour,Alf Sjöberg,Ivar Lo-Johansson,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",,6.7,,,2.0,1.0,,1949-10-31,2021-03-03,88.0,26056.0,14,1,False,2021
Snowroller,,"Sports Movies,Sports Comedies,Comedies,Swedish Movies","Swedish, English, German, Norwegian",Movie,5.3,,1-2 hour,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",,6.6,,,,,,1985-10-04,2021-03-03,5926.0,12934.0,17,4,False,2021
Sunes Summer,,"Children & Family Movies,Comedies,Movies Based on Books,Family Features,Family Comedies,Swedish Movies",Swedish,Movie,7.5,,1-2 hour,Jon Holmberg,"Jon Holmberg, Daniella Mendel-Enk, Sara Young, Anders Jacobsson, Sören Olsson","Elis Gerdt, Tea Stjärne, Fredrik Hallgren, Baxter Renman",,5.5,,,,7.0,,2018-11-30,2021-03-03,560.0,824.0,17,1,False,2021
The Invisible,,"Thriller Movies,Movies Based on Books,Supernatural Thrillers,Swedish Movies",English,Movie,2.0,,1-2 hour,David S. Goyer,"Christine Roum, Mats Wahl, Mick Davis","Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",PG-13,6.2,20.0,36.0,,1.0,,2007-04-27,2021-03-03,34738.0,5059.0,15,1,False,2021
The Simple Minded Murderer,,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Movies,Swedish Movies","Scanian, Swedish",Movie,7.8,,1-2 hour,Hans Alfredson,Hans Alfredson,"Stellan Skarsgård, Hans Alfredson, Per Myrberg, Maria Johansson",,7.6,92.0,,7.0,2.0,,1985-09-01,2021-03-03,2870.0,12967.0,17,2,False,2021
The Stig-Helmer Story,,"Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Swedish Movies","Swedish, English",Movie,6.4,,1-2 hour,Lasse Åberg,Lasse Åberg,"Jon Skolmen, Ida Högberg, Lasse Åberg, Tobias Jacobsson",,4.5,,,,1.0,,2011-12-25,2021-03-03,1666.0,3356.0,17,2,False,2021
To Kill a Child,,"Dramas,Swedish Movies",Spanish,Movie,8.8,,< 30 minutes,"José Esteban Alenda, César Esteban Alenda","José Esteban Alenda, Victoria Ruiz, César Esteban Alenda","Manolo Solo, Roger Príncep, Cristina Marcos, Roger Álvarez",,7.7,,,2.0,5.0,,2011-02-07,2021-03-03,78.0,3677.0,17,1,False,2021
Joker,,"Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,Movie,3.5,,1-2 hour,Todd Phillips,"Scott Silver, Jerry Robinson, Todd Phillips, Bob Kane, Bill Finger","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",R,8.4,68.0,59.0,112.0,228.0,,2019-10-04,2021-03-03,951938.0,516.0,12,1,False,2021
I,,"Dramas,Swedish Movies","English, Sanskrit",Movie,2.8,,1-2 hour,George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",PG,6.5,52.0,51.0,26.0,69.0,,1999-05-19,2021-03-03,733336.0,7959.0,15,2,False,2021
Harrys Daughters,,"Dramas,Swedish Movies",English,Movie,4.4,,1-2 hour,David Yates,"Steve Kloves, J.K. Rowling","Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",PG-13,8.1,96.0,85.0,46.0,94.0,,2011-07-15,2021-03-03,766594.0,3519.0,17,1,False,2021
Gyllene Tider,,"Music & Musicals,Swedish Movies,Music & Concert Documentaries,Documentary Films,Concerts",Swedish,Movie,8.8,,30-60 mins,Lasse Hallström,,"Micke Andersson, Anders Herrlin, Göran Fritzson, Per Gessle",,7.7,,,,,,,2021-03-03,19.0,,17,1,True,2021
False As Water,,"Psychological Thrillers,Dramas,Thriller Movies,Swedish Movies",Swedish,Movie,7.9,,1-2 hour,Hans Alfredson,Hans Alfredson,"Marie Göranzon, Stellan Skarsgård, Sverre Anker Ousdal, Malin Ek",,6.3,,,3.0,,,1985-11-08,2021-03-03,546.0,12899.0,17,1,False,2021
Bang!,,"Dramas,Movies Based on Books,Swedish Movies",,Movie,7.7,,1-2 hour,Robert Breer,,,,5.6,,,,,,,2021-03-03,197.0,,17,0,False,2021
A Guest Is Coming,,"Crime Movies,Thriller Movies,Mysteries,Crime Thrillers,Classic Movies,Swedish Movies",Swedish,Movie,7.7,,1-2 hour,Arne Mattsson,Stieg Trenter,"Karl-Arne Holmsten, Sture Lagerwall, Naima Wifstrand, Erik 'Bullen' Berglund",,5.4,,,,,,1947-11-03,2021-03-03,46.0,26784.0,17,1,True,2021
1939,,"Swedish Movies,Dramas",Swedish,Movie,7.6,,> 2 hrs,Göran Carmback,"Catti Edfeldt, Kjell Sundstedt, Brasse Brännström","Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergström",,5.5,,,,,,1989-12-25,2021-03-03,364.0,11391.0,17,1,False,2021
Girls und Panzer das Finale,,"Drama Anime,Action & Adventure,Action Anime,Anime Movies,Japanese Movies,School Anime,Military & War Anime",Japanese,Series,8.5,,< 30 minutes,Tsutomu Mizushima,Reiko Yoshida,"Mami Ozaki, Ikumi Nakagami, Mai Fuchigami, Ai Kayano",,7.3,,,,,,2017-12-09,2021-03-02,210.0,1179.0,1,1,False,2021
Indoo Ki Jawani,,"Action & Adventure,Bollywood Films,Comedies,Adventures,Romantic Films,Indian Films,Hindi-language Films",Hindi,Movie,3.9,,1-2 hour,Abir Sengupta,Abir Sengupta,"Rakesh Bedi, Aditya Seal, Kiara Advani, Iqbal Khan",,1.4,,,,,,2020-12-11,2021-03-02,3505.0,81.0,17,1,False,2021
The Coroner,,"Mystery Programmes,Drama Programmes,Crime TV Dramas,Canadian TV Programmes,TV Programmes Based on Books",English,Series,7.8,,< 30 minutes,,Sally Abbott,"Beatie Edney, Claire Goose, Oliver Gomm, Matt Bardock",TV-14,7.0,,,,,,2015-11-16,2021-03-02,1328.0,1933.0,1,1,False,2021
Brave New World,,"TV Dramas,US TV Shows,TV Shows Based on Books,Sci-Fi TV",English,Series,3.8,,< 30 minutes,,"David Wiener, Brian Taylor, Grant Morrison","Nina Sosanya, Harry Lloyd, Jessica Brown Findlay, Alden Ehrenreich",TV-MA,7.1,,,,,,2020-07-15,2021-03-02,9408.0,230.0,6,1,False,2021
Comrades: Almost a Love Story,,"Romantic Dramas,Chinese Movies,Dramas,Romantic Movies,Hong Kong Movies,Romantic Favorites","Cantonese, Mandarin, English",Movie,6.7,,1-2 hour,Peter Ho-Sun Chan,Ivy Ho,"Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung",,8.1,89.0,,23.0,8.0,,1996-11-02,2021-03-01,5047.0,8885.0,1,3,False,2021
The Closet,,"Korean Movies,Horror Movies,Mysteries",French,Movie,3.8,,1-2 hour,Francis Veber,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",R,7.0,85.0,72.0,1.0,1.0,,2001-08-10,2021-03-01,16657.0,7143.0,1,1,False,2021
